0,82
1,5468
3,5740
27,155
33,6114
36,567
39,4333
42,1568
43,1978
44,948
45,301
48,5541
52,3642
60,1684
67,6469
69,3716
76,2625
77,3272
86,6108
97,4820
100,2784
101,5398
102,4931
103,6618
107,341
123,1630
127,5346
131,4352
133,4632
135,4634
136,4104
140,3770
151,2941
165,3389
166,4781
167,6337
175,1789
176,219
180,5387
184,441
194,2369
197,4133
207,6893
215,4769
217,3920
220,5161
223,549
233,1232
249,3192
252,1408
257,4438
263,4418
271,5400
275,3586
283,5241
292,717
300,1537
316,5153
321,4987
322,6832
324,3433
336,5255
363,2883
368,1507
377,3490
383,1721
387,5224
392,6801
403,1773
411,5262
412,1897
428,452
434,1990
457,5408
458,3071
459,4656
466,3566
472,1825
473,4314
489,3394
495,3653
498,587
501,3437
511,1692
525,4757
527,5761
532,1046
535,6420
539,4345
541,4446
553,4586
554,5038
555,5298
570,1801
579,4191
581,1089
586,1491
592,4298
609,1013
627,2456
638,7079
647,2713
650,6878
660,3947
667,1399
672,1238
698,4057
704,6353
705,4808
713,5824
738,7120
747,6929
756,6214
761,5304
765,6897
772,2628
777,1715
790,1330
793,4335
802,4564
803,4547
812,6150
826,1821
830,2521
834,3401
848,6204
851,1210
867,2436
869,5863
872,6393
883,6841
888,3418
895,3672
898,6123
901,6605
909,1808
914,1972
921,2959
926,4457
927,4952
932,7021
949,7125
965,4949
966,3590
972,6931
996,4092
1000,5563
1007,4712
1015,3730
1026,4679
1040,1791
1041,1878
1047,4939
1058,1879
1085,1473
1097,2246
1099,1494
1101,2537
1105,2184
1106,5185
1117,5698
1120,3501
1146,2746
1157,2662
1162,4589
1165,1699
1168,7117
1180,4938
1194,5919
1219,5543
1234,2276
1239,3061
1240,3239
1249,2316
1301,6794
1306,6434
1317,4153
1320,1242
1335,2447
1340,1995
1352,4944
1355,3384
1374,4026
1379,6165
1380,3829
1391,2735
1392,6986
1394,2225
1396,3058
1402,6604
1403,6474
1419,2897
1425,1611
1428,5233
1429,5890
1433,5197
1462,3110
1475,4192
1506,6722
1509,4940
1513,2304
1523,6689
1529,4254
1552,1986
1553,3576
1557,3249
1567,2125
1579,4739
1601,5193
1603,7108
1613,2934
1618,6485
1621,1247
1627,4695
1629,2943
1635,6205
1637,3640
1643,6239
1648,6626
1667,3990
1669,5288
1678,6969
1695,3251
1703,3892
1713,1717
